日志文件创建成功：       [2015-05-02   20:56:10]
启动秒拍：       [2015-05-02   20:56:11]

**********************************************
                 用例执行                       
**********************************************

点击地道底部导航上的“我”[2015-05-02   20:56:21]
在我的页面点击设置按钮（进入设置页面）[2015-05-02   20:56:23]
打开wifi下自动播放[2015-05-02   20:56:27]
打开“3G拍摄下使用较低画质”[2015-05-02   20:56:29]
打开静音[2015-05-02   20:56:31]
点击新消息提醒，进入新消息提醒页面[2015-05-02   20:56:35]
关闭新粉丝push[2015-05-02   20:56:38]
关闭评论push[2015-05-02   20:56:40]
关闭喜欢push[2015-05-02   20:56:42]
点击反回，回到设置页面[2015-05-02   20:56:46]
关闭wifi下自动播放[2015-05-02   20:56:48]
关闭“3G拍摄下使用较低画质”[2015-05-02   20:56:50]
关闭静音[2015-05-02   20:56:52]
点击新消息提醒，进入新消息提醒页面[2015-05-02   20:56:56]
打开新粉丝push[2015-05-02   20:56:58]
打开评论push[2015-05-02   20:57:00]
打开喜欢push[2015-05-02   20:57:02]
点击反回，回到设置页面[2015-05-02   20:57:06]
点击清空缓存[2015-05-02   20:57:08]
点击“否”取消清空[2015-05-02   20:57:10]
点击清空缓存[2015-05-02   20:57:12]
点击“是”，清空缓存[2015-05-02   20:57:16]
点击意见反馈，进入意见反馈页面[2015-05-02   20:57:18]
什么也不输入、点击发送[2015-05-02   20:57:20]
点击意见输入框[2015-05-02   20:57:23]
输入“hello”[2015-05-02   20:57:25]
点击“发送”[2015-05-02   20:57:27]
点击意见反馈[2015-05-02   20:57:29]
点击意见输入框[2015-05-02   20:57:31]
输入“hello”[2015-05-02   20:57:33]
点击联系方式输入框[2015-05-02   20:57:35]
输入错误的邮箱地址[2015-05-02   20:57:37]
点击发送[2015-05-02   20:57:39]
点击联系方式输入框[2015-05-02   20:57:43]
输入正确的邮箱地址[2015-05-02   20:57:49]
点击发送[2015-05-02   20:57:51]
点击意见反馈[2015-05-02   20:57:56]
点击意见输入框[2015-05-02   20:57:58]
输入“hello”[2015-05-02   20:58:00]
点击联系方式输入框[2015-05-02   20:58:02]
输入小于5位的qq号码[2015-05-02   20:58:04]
点击发送[2015-05-02   20:58:06]
点击联系方式输入框[2015-05-02   20:58:10]
输入5为的qq号码[2015-05-02   20:58:12]
点击发送[2015-05-02   20:58:14]
点击返回按钮退出设置页面[2015-05-02   20:58:19]
点击底导上的首页，进入首页[2015-05-02   20:58:21]
